pattern_id,pattern_form,family,examples,dimension_needing_subtype,current_value,subtype_options,suggested_subtype,notes
falaa_fem,فَعْلَى,fem_form,سَلْقَى | كُبْرَى | صُغْرَى,comparison,0.5,مبالغة | تفضيل | تصغير,,
falah_unit_noun,فَعْلَة,single_action,ضَرْبَة | قِصَّة | لَمْحَة,masdar,0.7,صريح | ميمي | صناعي | مرة | هيئة,,
falah_plural,فَعَلَة,broken_plural,عَبَدَة | كَتَبَة | حَمَلَة,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
fualaa_plural,فُعَلَاء,broken_plural,عُلَمَاء | السُّفَهَاء | فُقَهَاء,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
faaail_plural,فَعَائِل,broken_plural,عَجَائِز | حَقَائِق | رَسَائِل,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
fawaail_plural,فَوَاعِل,broken_plural,فَوَارِس | شَوَاهِد | نَوَافِذ,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
faalaa_plural,فَعَالَى,broken_plural,خَطَايَا | أَسَارَى | مَوْتَى,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
fuayal_diminutive,فُعَيْل,diminutive,جُبَيْل | حُسَيْن | نُجَيْم,comparison,0.8,مبالغة | تفضيل | تصغير,,
fuayil_diminutive_form,فُعَيْعِل,diminutive_form4,دُرَيْهِم | كُتَيِّب,comparison,0.7,مبالغة | تفضيل | تصغير,,
fuaylaan_dim,فُعَيْلَان,diminutive,نُعَيْمَان,comparison,0.7,مبالغة | تفضيل | تصغير,,
fuaylaa_dim,فُعَيْلَاء,diminutive,دُرَيْلَاء,comparison,0.7,مبالغة | تفضيل | تصغير,,
faaiil_intensive,فَعِّيل,intensified_adj,دَرِّيس | سِكِّير | خِمِّير,comparison,0.9,مبالغة | تفضيل | تصغير,,
faeel_intensive_alt,فَعِّل,intensive_imperative,نَبِّئ | بَشِّر | عَلِّم,multiplication,0.4,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
