معرّف_الوزن,الوزن,العائلة,البُعد,القيمة
istafala_verb,إِسْتَفْعَل,فعل_مزيد,المفعولية,0.3
istafala_verb,إِسْتَفْعَل,فعل_مزيد,التعدية,0.8
istafala_verb,إِسْتَفْعَل,فعل_مزيد,اسم_المكان,0.0
istafala_verb,إِسْتَفْعَل,فعل_مزيد,اسم_الزمان,0.0
istafala_verb,إِسْتَفْعَل,فعل_مزيد,اسم_الآلة,0.4
istafala_verb,إِسْتَفْعَل,فعل_مزيد,النسبة,0.0
istafala_verb,إِسْتَفْعَل,فعل_مزيد,التفضيل_والمبالغة,0.0
istafala_verb,إِسْتَفْعَل,فعل_مزيد,الكثرة_والجمع,0.0
istafala_verb,إِسْتَفْعَل,فعل_مزيد,التحويل_الدلالي,0.9
istafala_verb,إِسْتَفْعَل,فعل_مزيد,المصدر,0.0
istafala_verb,إِسْتَفْعَل,فعل_مزيد,الجامد,0.0
tafaala_reflex,تَفَاعَل,فعل_مزيد,الفاعلية,0.5
tafaala_reflex,تَفَاعَل,فعل_مزيد,المفعولية,0.5
tafaala_reflex,تَفَاعَل,فعل_مزيد,التعدية,0.3
tafaala_reflex,تَفَاعَل,فعل_مزيد,اسم_المكان,0.0
tafaala_reflex,تَفَاعَل,فعل_مزيد,اسم_الزمان,0.0
tafaala_reflex,تَفَاعَل,فعل_مزيد,اسم_الآلة,0.0
tafaala_reflex,تَفَاعَل,فعل_مزيد,النسبة,0.0
tafaala_reflex,تَفَاعَل,فعل_مزيد,التفضيل_والمبالغة,0.0
tafaala_reflex,تَفَاعَل,فعل_مزيد,الكثرة_والجمع,0.0
tafaala_reflex,تَفَاعَل,فعل_مزيد,التحويل_الدلالي,0.7
tafaala_reflex,تَفَاعَل,فعل_مزيد,المصدر,0.0
tafaala_reflex,تَفَاعَل,فعل_مزيد,الجامد,0.0
faiil_attr,فَعِيل,صفة_مشبهة,الفاعلية,0.2
faiil_attr,فَعِيل,صفة_مشبهة,المفعولية,0.4
faiil_attr,فَعِيل,صفة_مشبهة,التعدية,0.0
faiil_attr,فَعِيل,صفة_مشبهة,اسم_المكان,0.0
faiil_attr,فَعِيل,صفة_مشبهة,اسم_الزمان,0.0
faiil_attr,فَعِيل,صفة_مشبهة,اسم_الآلة,0.0
faiil_attr,فَعِيل,صفة_مشبهة,النسبة,0.3
faiil_attr,فَعِيل,صفة_مشبهة,التفضيل_والمبالغة,0.6
faiil_attr,فَعِيل,صفة_مشبهة,الكثرة_والجمع,0.0
faiil_attr,فَعِيل,صفة_مشبهة,التحويل_الدلالي,0.0
faiil_attr,فَعِيل,صفة_مشبهة,المصدر,0.0
faiil_attr,فَعِيل,صفة_مشبهة,الجامد,0.1
fuayyil_dim,فُعَيِّل,تصغير,الفاعلية,0.0
fuayyil_dim,فُعَيِّل,تصغير,المفعولية,0.0
fuayyil_dim,فُعَيِّل,تصغير,التعدية,0.0
fuayyil_dim,فُعَيِّل,تصغير,اسم_المكان,0.0
fuayyil_dim,فُعَيِّل,تصغير,اسم_الزمان,0.0
fuayyil_dim,فُعَيِّل,تصغير,اسم_الآلة,0.0
fuayyil_dim,فُعَيِّل,تصغير,النسبة,0.0
fuayyil_dim,فُعَيِّل,تصغير,التفضيل_والمبالغة,0.7
fuayyil_dim,فُعَيِّل,تصغير,الكثرة_والجمع,0.0
fuayyil_dim,فُعَيِّل,تصغير,التحويل_الدلالي,0.3
fuayyil_dim,فُعَيِّل,تصغير,المصدر,0.0
fuayyil_dim,فُعَيِّل,تصغير,الجامد,0.3
afaal_plural,أَفْعَال,جمع_تكسير,الفاعلية,0.0
afaal_plural,أَفْعَال,جمع_تكسير,المفعولية,0.0
afaal_plural,أَفْعَال,جمع_تكسير,التعدية,0.0
afaal_plural,أَفْعَال,جمع_تكسير,اسم_المكان,0.0
afaal_plural,أَفْعَال,جمع_تكسير,اسم_الزمان,0.0
afaal_plural,أَفْعَال,جمع_تكسير,اسم_الآلة,0.0
afaal_plural,أَفْعَال,جمع_تكسير,النسبة,0.0
afaal_plural,أَفْعَال,جمع_تكسير,التفضيل_والمبالغة,0.0
afaal_plural,أَفْعَال,جمع_تكسير,الكثرة_والجمع,1.0
afaal_plural,أَفْعَال,جمع_تكسير,التحويل_الدلالي,0.1
afaal_plural,أَفْعَال,جمع_تكسير,المصدر,0.0
afaal_plural,أَفْعَال,جمع_تكسير,الجامد,0.0
fiaal_plural,فِعَال,جمع_تكسير,الفاعلية,0.0
fiaal_plural,فِعَال,جمع_تكسير,المفعولية,0.0
fiaal_plural,فِعَال,جمع_تكسير,التعدية,0.0
fiaal_plural,فِعَال,جمع_تكسير,اسم_المكان,0.0
fiaal_plural,فِعَال,جمع_تكسير,اسم_الزمان,0.0
fiaal_plural,فِعَال,جمع_تكسير,اسم_الآلة,0.0
fiaal_plural,فِعَال,جمع_تكسير,النسبة,0.0
fiaal_plural,فِعَال,جمع_تكسير,التفضيل_والمبالغة,0.0
fiaal_plural,فِعَال,جمع_تكسير,الكثرة_والجمع,1.0
fiaal_plural,فِعَال,جمع_تكسير,التحويل_الدلالي,0.1
fiaal_plural,فِعَال,جمع_تكسير,المصدر,0.0
fiaal_plural,فِعَال,جمع_تكسير,الجامد,0.0
fuuul_plural,فُعُول,جمع_تكسير,الفاعلية,0.0
fuuul_plural,فُعُول,جمع_تكسير,المفعولية,0.0
fuuul_plural,فُعُول,جمع_تكسير,التعدية,0.0
fuuul_plural,فُعُول,جمع_تكسير,اسم_المكان,0.0
fuuul_plural,فُعُول,جمع_تكسير,اسم_الزمان,0.0
fuuul_plural,فُعُول,جمع_تكسير,اسم_الآلة,0.0
fuuul_plural,فُعُول,جمع_تكسير,النسبة,0.0
fuuul_plural,فُعُول,جمع_تكسير,التفضيل_والمبالغة,0.0
fuuul_plural,فُعُول,جمع_تكسير,الكثرة_والجمع,1.0
fuuul_plural,فُعُول,جمع_تكسير,التحويل_الدلالي,0.1
fuuul_plural,فُعُول,جمع_تكسير,المصدر,0.0
fuuul_plural,فُعُول,جمع_تكسير,الجامد,0.0
fual_plural,فُعَل,جمع_تكسير,الفاعلية,0.0
fual_plural,فُعَل,جمع_تكسير,المفعولية,0.0
fual_plural,فُعَل,جمع_تكسير,التعدية,0.0
fual_plural,فُعَل,جمع_تكسير,اسم_المكان,0.0
fual_plural,فُعَل,جمع_تكسير,اسم_الزمان,0.0
fual_plural,فُعَل,جمع_تكسير,اسم_الآلة,0.0
fual_plural,فُعَل,جمع_تكسير,النسبة,0.0
fual_plural,فُعَل,جمع_تكسير,التفضيل_والمبالغة,0.0
fual_plural,فُعَل,جمع_تكسير,الكثرة_والجمع,1.0
fual_plural,فُعَل,جمع_تكسير,التحويل_الدلالي,0.1
fual_plural,فُعَل,جمع_تكسير,المصدر,0.0
fual_plural,فُعَل,جمع_تكسير,الجامد,0.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,الفاعلية,0.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,المفعولية,0.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,التعدية,0.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,اسم_المكان,0.3
nisba_yaa,فَعَلِيّ,صفة_منسوبة,اسم_الزمان,0.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,اسم_الآلة,0.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,النسبة,1.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,التفضيل_والمبالغة,0.2
nisba_yaa,فَعَلِيّ,صفة_منسوبة,الكثرة_والجمع,0.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,التحويل_الدلالي,0.1
nisba_yaa,فَعَلِيّ,صفة_منسوبة,المصدر,0.0
nisba_yaa,فَعَلِيّ,صفة_منسوبة,الجامد,0.2
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,الفاعلية,0.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,المفعولية,1.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,التعدية,0.5
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,اسم_المكان,0.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,اسم_الزمان,0.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,اسم_الآلة,0.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,النسبة,0.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,التفضيل_والمبالغة,0.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,الكثرة_والجمع,0.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,التحويل_الدلالي,0.8
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,المصدر,0.0
mustafl_patient,مُسْتَفْعَل,اسم_مفعول,الجامد,0.0
mufaail_agent,مُفَاعِل,اسم_فاعل,الفاعلية,0.9
mufaail_agent,مُفَاعِل,اسم_فاعل,المفعولية,0.2
mufaail_agent,مُفَاعِل,اسم_فاعل,التعدية,0.4
mufaail_agent,مُفَاعِل,اسم_فاعل,اسم_المكان,0.0
mufaail_agent,مُفَاعِل,اسم_فاعل,اسم_الزمان,0.0
mufaail_agent,مُفَاعِل,اسم_فاعل,اسم_الآلة,0.1
mufaail_agent,مُفَاعِل,اسم_فاعل,النسبة,0.0
mufaail_agent,مُفَاعِل,اسم_فاعل,التفضيل_والمبالغة,0.1
mufaail_agent,مُفَاعِل,اسم_فاعل,الكثرة_والجمع,0.0
mufaail_agent,مُفَاعِل,اسم_فاعل,التحويل_الدلالي,0.3
mufaail_agent,مُفَاعِل,اسم_فاعل,المصدر,0.0
mufaail_agent,مُفَاعِل,اسم_فاعل,الجامد,0.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,الفاعلية,0.2
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,المفعولية,0.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,التعدية,0.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,اسم_المكان,0.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,اسم_الزمان,0.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,اسم_الآلة,0.2
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,النسبة,0.3
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,التفضيل_والمبالغة,0.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,الكثرة_والجمع,0.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,التحويل_الدلالي,0.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,المصدر,1.0
fiaala_masdar_craft,فِعَالَة,مصدر_حرفة,الجامد,0.0
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,الفاعلية,0.7
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,المفعولية,0.2
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,التعدية,0.3
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,اسم_المكان,0.0
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,اسم_الزمان,0.0
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,اسم_الآلة,0.0
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,النسبة,0.0
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,التفضيل_والمبالغة,0.0
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,الكثرة_والجمع,0.0
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,التحويل_الدلالي,0.4
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,المصدر,0.2
faala_verb_base,فَعَل,فعل_ثلاثي_مجرد,الجامد,0.1
faila_verb_state,فَعِل,فعل_حالة,الفاعلية,0.3
faila_verb_state,فَعِل,فعل_حالة,المفعولية,0.4
faila_verb_state,فَعِل,فعل_حالة,التعدية,0.0
faila_verb_state,فَعِل,فعل_حالة,اسم_المكان,0.0
faila_verb_state,فَعِل,فعل_حالة,اسم_الزمان,0.0
faila_verb_state,فَعِل,فعل_حالة,اسم_الآلة,0.0
faila_verb_state,فَعِل,فعل_حالة,النسبة,0.0
faila_verb_state,فَعِل,فعل_حالة,التفضيل_والمبالغة,0.3
faila_verb_state,فَعِل,فعل_حالة,الكثرة_والجمع,0.0
faila_verb_state,فَعِل,فعل_حالة,التحويل_الدلالي,0.5
faila_verb_state,فَعِل,فعل_حالة,المصدر,0.2
faila_verb_state,فَعِل,فعل_حالة,الجامد,0.1
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,الفاعلية,0.1
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,المفعولية,0.0
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,التعدية,0.0
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,اسم_المكان,0.0
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,اسم_الزمان,0.0
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,اسم_الآلة,0.0
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,النسبة,0.0
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,التفضيل_والمبالغة,0.5
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,الكثرة_والجمع,0.0
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,التحويل_الدلالي,0.6
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,المصدر,0.3
faula_verb_quality,فَعُل,فعل_صفة_ثابتة,الجامد,0.2
faal_noun,فَعْل,اسم_جامد,الفاعلية,0.0
faal_noun,فَعْل,اسم_جامد,المفعولية,0.0
faal_noun,فَعْل,اسم_جامد,التعدية,0.0
faal_noun,فَعْل,اسم_جامد,اسم_المكان,0.0
faal_noun,فَعْل,اسم_جامد,اسم_الزمان,0.0
faal_noun,فَعْل,اسم_جامد,اسم_الآلة,0.0
faal_noun,فَعْل,اسم_جامد,النسبة,0.0
faal_noun,فَعْل,اسم_جامد,التفضيل_والمبالغة,0.0
faal_noun,فَعْل,اسم_جامد,الكثرة_والجمع,0.0
faal_noun,فَعْل,اسم_جامد,التحويل_الدلالي,0.0
faal_noun,فَعْل,اسم_جامد,المصدر,0.4
faal_noun,فَعْل,اسم_جامد,الجامد,0.6
fial_noun,فِعْل,اسم_جامد,الفاعلية,0.0
fial_noun,فِعْل,اسم_جامد,المفعولية,0.0
fial_noun,فِعْل,اسم_جامد,التعدية,0.0
fial_noun,فِعْل,اسم_جامد,اسم_المكان,0.0
fial_noun,فِعْل,اسم_جامد,اسم_الزمان,0.0
fial_noun,فِعْل,اسم_جامد,اسم_الآلة,0.0
fial_noun,فِعْل,اسم_جامد,النسبة,0.0
fial_noun,فِعْل,اسم_جامد,التفضيل_والمبالغة,0.0
fial_noun,فِعْل,اسم_جامد,الكثرة_والجمع,0.0
fial_noun,فِعْل,اسم_جامد,التحويل_الدلالي,0.0
fial_noun,فِعْل,اسم_جامد,المصدر,0.4
fial_noun,فِعْل,اسم_جامد,الجامد,0.6
fual_simple,فُعْل,اسم_جامد,الفاعلية,0.0
fual_simple,فُعْل,اسم_جامد,المفعولية,0.0
fual_simple,فُعْل,اسم_جامد,التعدية,0.0
fual_simple,فُعْل,اسم_جامد,اسم_المكان,0.0
fual_simple,فُعْل,اسم_جامد,اسم_الزمان,0.0
fual_simple,فُعْل,اسم_جامد,اسم_الآلة,0.0
fual_simple,فُعْل,اسم_جامد,النسبة,0.0
fual_simple,فُعْل,اسم_جامد,التفضيل_والمبالغة,0.0
fual_simple,فُعْل,اسم_جامد,الكثرة_والجمع,0.0
fual_simple,فُعْل,اسم_جامد,التحويل_الدلالي,0.0
fual_simple,فُعْل,اسم_جامد,المصدر,0.3
fual_simple,فُعْل,اسم_جامد,الجامد,0.7
fuul_plural_alt,فُعُل,جمع_تكسير,الفاعلية,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,المفعولية,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,التعدية,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,اسم_المكان,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,اسم_الزمان,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,اسم_الآلة,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,النسبة,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,التفضيل_والمبالغة,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,الكثرة_والجمع,1.0
fuul_plural_alt,فُعُل,جمع_تكسير,التحويل_الدلالي,0.1
fuul_plural_alt,فُعُل,جمع_تكسير,المصدر,0.0
fuul_plural_alt,فُعُل,جمع_تكسير,الجامد,0.0
fial_plural,فِعَل,جمع_تكسير,الفاعلية,0.0
fial_plural,فِعَل,جمع_تكسير,المفعولية,0.0
fial_plural,فِعَل,جمع_تكسير,التعدية,0.0
fial_plural,فِعَل,جمع_تكسير,اسم_المكان,0.0
fial_plural,فِعَل,جمع_تكسير,اسم_الزمان,0.0
fial_plural,فِعَل,جمع_تكسير,اسم_الآلة,0.0
fial_plural,فِعَل,جمع_تكسير,النسبة,0.0
fial_plural,فِعَل,جمع_تكسير,التفضيل_والمبالغة,0.0
fial_plural,فِعَل,جمع_تكسير,الكثرة_والجمع,1.0
fial_plural,فِعَل,جمع_تكسير,التحويل_الدلالي,0.0
fial_plural,فِعَل,جمع_تكسير,المصدر,0.1
fial_plural,فِعَل,جمع_تكسير,الجامد,0.1
afaal_verb,أَفْعَل,فعل_تعدية,الفاعلية,0.6
afaal_verb,أَفْعَل,فعل_تعدية,المفعولية,0.0
afaal_verb,أَفْعَل,فعل_تعدية,التعدية,1.0
afaal_verb,أَفْعَل,فعل_تعدية,اسم_المكان,0.0
afaal_verb,أَفْعَل,فعل_تعدية,اسم_الزمان,0.0
afaal_verb,أَفْعَل,فعل_تعدية,اسم_الآلة,0.0
afaal_verb,أَفْعَل,فعل_تعدية,النسبة,0.0
afaal_verb,أَفْعَل,فعل_تعدية,التفضيل_والمبالغة,0.0
afaal_verb,أَفْعَل,فعل_تعدية,الكثرة_والجمع,0.0
afaal_verb,أَفْعَل,فعل_تعدية,التحويل_الدلالي,0.7
afaal_verb,أَفْعَل,فعل_تعدية,المصدر,0.0
afaal_verb,أَفْعَل,فعل_تعدية,الجامد,0.0
faaala_intensive_verb,فَعَّل,فعل_تكثير,الفاعلية,0.6
faaala_intensive_verb,فَعَّل,فعل_تكثير,المفعولية,0.0
faaala_intensive_verb,فَعَّل,فعل_تكثير,التعدية,0.7
faaala_intensive_verb,فَعَّل,فعل_تكثير,اسم_المكان,0.0
faaala_intensive_verb,فَعَّل,فعل_تكثير,اسم_الزمان,0.0
faaala_intensive_verb,فَعَّل,فعل_تكثير,اسم_الآلة,0.0
faaala_intensive_verb,فَعَّل,فعل_تكثير,النسبة,0.0
faaala_intensive_verb,فَعَّل,فعل_تكثير,التفضيل_والمبالغة,0.3
faaala_intensive_verb,فَعَّل,فعل_تكثير,الكثرة_والجمع,0.4
faaala_intensive_verb,فَعَّل,فعل_تكثير,التحويل_الدلالي,0.8
faaala_intensive_verb,فَعَّل,فعل_تكثير,المصدر,0.0
faaala_intensive_verb,فَعَّل,فعل_تكثير,الجامد,0.0
faaala_verb_form3,فَاعَل,فعل_مفاعلة,الفاعلية,0.6
faaala_verb_form3,فَاعَل,فعل_مفاعلة,المفعولية,0.4
faaala_verb_form3,فَاعَل,فعل_مفاعلة,التعدية,0.3
faaala_verb_form3,فَاعَل,فعل_مفاعلة,اسم_المكان,0.0
faaala_verb_form3,فَاعَل,فعل_مفاعلة,اسم_الزمان,0.0
faaala_verb_form3,فَاعَل,فعل_مفاعلة,اسم_الآلة,0.0
faaala_verb_form3,فَاعَل,فعل_مفاعلة,النسبة,0.0
faaala_verb_form3,فَاعَل,فعل_مفاعلة,التفضيل_والمبالغة,0.0
faaala_verb_form3,فَاعَل,فعل_مفاعلة,الكثرة_والجمع,0.0
faaala_verb_form3,فَاعَل,فعل_مفاعلة,التحويل_الدلالي,0.6
faaala_verb_form3,فَاعَل,فعل_مفاعلة,المصدر,0.0
faaala_verb_form3,فَاعَل,فعل_مفاعلة,الجامد,0.0
tafaaala_form5,تَفَعَّل,فعل_تفعّل,الفاعلية,0.5
tafaaala_form5,تَفَعَّل,فعل_تفعّل,المفعولية,0.4
tafaaala_form5,تَفَعَّل,فعل_تفعّل,التعدية,0.0
tafaaala_form5,تَفَعَّل,فعل_تفعّل,اسم_المكان,0.0
tafaaala_form5,تَفَعَّل,فعل_تفعّل,اسم_الزمان,0.0
tafaaala_form5,تَفَعَّل,فعل_تفعّل,اسم_الآلة,0.0
tafaaala_form5,تَفَعَّل,فعل_تفعّل,النسبة,0.0
tafaaala_form5,تَفَعَّل,فعل_تفعّل,التفضيل_والمبالغة,0.0
tafaaala_form5,تَفَعَّل,فعل_تفعّل,الكثرة_والجمع,0.2
tafaaala_form5,تَفَعَّل,فعل_تفعّل,التحويل_الدلالي,0.9
tafaaala_form5,تَفَعَّل,فعل_تفعّل,المصدر,0.0
tafaaala_form5,تَفَعَّل,فعل_تفعّل,الجامد,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,الفاعلية,0.1
infaala_form7,إِنْفَعَل,فعل_انفعال,المفعولية,0.9
infaala_form7,إِنْفَعَل,فعل_انفعال,التعدية,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,اسم_المكان,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,اسم_الزمان,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,اسم_الآلة,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,النسبة,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,التفضيل_والمبالغة,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,الكثرة_والجمع,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,التحويل_الدلالي,0.9
infaala_form7,إِنْفَعَل,فعل_انفعال,المصدر,0.0
infaala_form7,إِنْفَعَل,فعل_انفعال,الجامد,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,الفاعلية,0.6
iftaala_form8,إِفْتَعَل,فعل_افتعال,المفعولية,0.3
iftaala_form8,إِفْتَعَل,فعل_افتعال,التعدية,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,اسم_المكان,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,اسم_الزمان,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,اسم_الآلة,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,النسبة,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,التفضيل_والمبالغة,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,الكثرة_والجمع,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,التحويل_الدلالي,0.8
iftaala_form8,إِفْتَعَل,فعل_افتعال,المصدر,0.0
iftaala_form8,إِفْتَعَل,فعل_افتعال,الجامد,0.0
yafal_present,يَفْعَل,مضارع,الفاعلية,0.6
yafal_present,يَفْعَل,مضارع,المفعولية,0.2
yafal_present,يَفْعَل,مضارع,التعدية,0.2
yafal_present,يَفْعَل,مضارع,اسم_المكان,0.0
yafal_present,يَفْعَل,مضارع,اسم_الزمان,0.3
yafal_present,يَفْعَل,مضارع,اسم_الآلة,0.0
yafal_present,يَفْعَل,مضارع,النسبة,0.0
yafal_present,يَفْعَل,مضارع,التفضيل_والمبالغة,0.0
yafal_present,يَفْعَل,مضارع,الكثرة_والجمع,0.0
yafal_present,يَفْعَل,مضارع,التحويل_الدلالي,0.3
yafal_present,يَفْعَل,مضارع,المصدر,0.0
