الوزن,مثال,CV_الوزن,CV_مثال
فَعُولِيَّة,صُبُوحِيَّة,CVCVVCVVCVC,CVCVVCVVCVC
فَعِل,عَلِم,CVCVC,CVCVC
فَعِل,فَهِم,CVCVC,CVCVC
فَعِيل,رَحِيم,CVCVVC,CVCVVC
فَعِيلَة,حَمِيدَة,CVCVVCVC,CVCVVCVC
فَعِيلَة,سَمِيرَة,CVCVVCVC,CVCVVCVC
فَعِّيل,دَرِّيس,CVCCVVC,CVCCVVC
فَعْلَان,عَطْشَان,CVCCVVC,CVCCVVC
فَعْلَاء,صَفْرَاء,CVCCVVC,CVCCVVC
فَعْلَة,ضَرْبَة,CVCCVC,CVCCVC
فَعْلَل,دَحْرَج,CVCCVC,CVCCVC
فَعْلَى,سَلْقَى,CVCCVC,CVCCVC
فَعْل,يَوْم,CVCC,CVCC
فَعْل,حَمْد,CVCC,CVCC
فَعْنَل,قَلْنَس,CVCCVC,CVCCVC
فَعْوَل,دَهْوَر,CVCCVC,CVCCVC
فَعْيَل,عَثْيَر,CVCCVC,CVCCVC
فَوَاعِل,فَوَارِس,CVCVVCVC,CVCVVCVC
فَوْعَل,جَوْرَب,CVCCVC,CVCCVC
فَيْعَل,بَيْطَر,CVCCVC,CVCCVC
فُعَل,سُهَد,CVCVC,CVCVC
فُعَلَاء,عُلَمَاء,CVCVCVVC,CVCVCVVC
فُعَلَاء,السُّفَهَاء,CVCVCVVC,CVCCVCVCVVC
فُعَيِّل,حُمَيِّر,CVCVCCVC,CVCVCCVC
فُعَيْعِل,دُرَيْ,CVCVCCVC,CVCVC
فُعَيْل,جُبَيْل,CVCVCC,CVCVCC
فُعَيْلَان,نُعَيْمَان,CVCVCCVVC,CVCVCCVVC
فُعَيْلَاء,دُرَيْلَاء,CVCVCCVVC,CVCVCCVVC
فُعَيْلَة,دُرَيْعَة,CVCVCCVC,CVCVCCVC
فُعَيْلَى,بُرَيْعَى,CVCVCCVC,CVCVCCVC
فُعُل,رُسُل,CVCVC,CVCVC
فُعُولِي,أُصُولي,CVCVVCVV,CVCVVCC
فُعُّول,قُدُّوم,CVCCVVC,CVCCVVC
فُعْلَان,قُرْبَان,CVCCVVC,CVCCVVC
فُل,كُنْ,CVC,CVC
فِعَال,قِتَال,CVCVVC,CVCVVC
فِعَالَة,بِطَاقَة,CVCVVCVC,CVCVVCVC
فِعَالِيَّة,كِتَابِيَّة,CVCVVCVVCVC,CVCVVCVVCVC
فِعَل,الرِّبَا,CVCVC,CVCCVCVV
فِعَّالِيَّة,عِدَّادِيَّة,CVCCVVCVVCVC,CVCCVVCVVCVC
فِعْلَان,صِبْيان,CVCCVVC,CVCCCC
فِعْلَة,فِتْيَة,CVCCVC,CVCCVC
فِعْلَى,عِفْرَى,CVCCVC,CVCCVC
فِل,شِئْ,CVC,CVC
فِيعَال,مِيثَاق,CVVCVVC,CVVCVVC
مَافُل,جَان,CVVCVC,CVVC
مَفَاعِل,مَسَاجِد,CVCVVCVC,CVCVVCVC
مَفَاعِيل,مَصَابِيح,CVCVVCVVC,CVCVVCVVC
مَفْعَل,مَكْتَب,CVCCVC,CVCCVC
مَفْعَلَة,مَكْتَبَة,CVCCVCVC,CVCCVCVC
مَفْعُول,مَغْضُوب,CVCCVVC,CVCCVVC
مَفْعِل,مَنْزِل,CVCCVC,CVCCVC
مُتَفَاعِل,مُتَجَانِف,CVCVCVVCVC,CVCVCVVCVC
مُتَفَعِّل,مُتَوَفِّي,CVCVCVCCVC,CVCVCVCCVV
مُسْتَفْعَل,مُسْتَقَر,CVCCVCCVC,CVCCVCVC
مُفَاعَل,مُسَافَر,CVCVVCVC,CVCVVCVC
مُفَاعَلَة,مُقَاتَلَة,CVCVVCVCVC,CVCVVCVCVC
مُفَاعِل,مُكَافِح,CVCVVCVC,CVCVVCVC
مُفَعَّل,مُعَلَّم,CVCVCCVC,CVCVCCVC
مُفَعِّل,مُعَلِّم,CVCVCCVC,CVCVCCVC
مُفَعْلَل,مُدَحْرَج,CVCVCCVC,CVCVCCVC
مُفَعْلِل,مُدَحْرِج,CVCVCCVC,CVCVCCVC
مِفْعَال,مِقْوَاد,CVCCVVC,CVCCVVC
مِفْعَل,مِشْرَط,CVCCVC,CVCCVC
مِفْعِل,مِسْكِع,CVCCVC,CVCCVC
يَتَفَاعَل,يَتَرَاجَع,CVCVCVVCVC,CVCVCVVCVC
يَتَفَاعَل,يَتَحَاجُّون,CVCVCVVCVC,CVCVCVVCCVVC
يَتَفَعَّل,يَتَفَجَّر,CVCVCVCCVC,CVCVCVCCVC
يَتَفَعَّل,يَتَرَبَّص,CVCVCVCCVC,CVCVCVCCVC
يَسْتَفْعِل,يَسْتَهْزِئ,CVCCVCCVC,CVCCVCCVC
يَفْعَل,يَخْدَع,CVCCVC,CVCCVC
يَفْعُل,يَرْجُو,CVCCVC,CVCCVV
يَفْعِل,يَكْذِب,CVCCVC,CVCCVC
يُفَاعِل,يُخَادِع,CVCVVCVC,CVCVVCVC
يُفَعِّل,نُسَبِّح,CVCVCCVC,CVCVCCVC
يُفْعِل,يُخَرِج,CVCCVC,CVCVCVC
يُفْعِل,يُؤْمِن,CVCCVC,CVCCVC
فَاعِلُون,كَاتِب,CVVCVCVVC,CVVCVCV
فَاعِلَات,كَاتِبَات,CVVCVCVVC,CVVCVCVVC
نَفْعُل,نَعْبُد,CVCCVC,CVCCVC
فَعل,أَنت,CVCC,CVCC
فُعل,أُوف,CVCC,CVCC
فِعل,إِنس,CVCC,CVCC
فَعًل,أَذًى,CVCVC,CVCVC
فَعَل,فَقَد,CVCVC,CVCVC
فَعُل,أَقُل,CVCVC,CVCVC
فَعْل,رَيْب,CVCC,CVCC
فَّعل,مَّات,CCVCC,CCVVC
فُعًل,هُدًى,CVCVC,CVCVC
فُعِل,كُتِب,CVCVC,CVCVC
فُعْل,عُمْى,CVCC,CVCC
فُّعل,رُّوحِ,CCVCC,CCVVCV
فِعل,كِدت,CVCC,CVCC
فِعْل,بِسْم,CVCC,CVCC
أَفعَل,أَنشَأَ,CVCCVC,CVCVCVCV
أَفعِل,أَنذِر,CVCCVC,CVCCVC
تَفعِل,تَنقِم,CVCCVC,CVCVCVCV
فَأَعل,ءَأَنت,CVCVCC,CVCVCC
فَاعَل,ءَادَم,CVVCVC,CVVCVC
فَاعُل,زَادُو,CVVCVC,CVVCVV
فَعَل,أَشَد,CVCVC,CVCVC
فَعَل,رَزَقْنَا,CVCVC,CVCVCCVV
فَعَّل,أَلَّف,CVCCVC,CVCCVC
فَعُل,عَدُو,CVCVC,CVCVV
فَعُل,وَقُلْ,CVCVC,CVCVC
فَعُول,ذَلُول,CVCVVC,CVCVVC
فَعِل,غَنِى,CVCVC,CVCVV
فَعِّل,طَيِّبَات,CVCCVC,CVCCVCVVC
فَّعَل,لَّنَا,CCVCVC,CCVCVV
فَّعُل,وَّهُم,CCVCVC,CCVCVC
فَّعِل,رَّحِم,CCVCVC,CCVCVC
فَّعْل,لَّيْس,CCVCC,CCVCC
فُعَل,يُوَف,CVCVC,CVVC
فُعَّل,حُجَّتُنَآ,CVCCVC,CVCCVCVCVC
فُعُل,غُدُوُّ,CVCVC,CVCVCCV
فُعُول,قُلُوبِ,CVCVVC,CVCVVCV
فُعِل,أُهِل,CVCVC,CVCVC
فُعِل,رُزِقْ,CVCVC,CVCVC
فُعِيل,نُصِيب,CVCVVC,CVCVVC
فُعِّل,زُيِّن,CVCCVC,CVCCVC
فُفَعل,فُؤَاد,CVCVCC,CVCVVC
فُوعِل,عُوقِب,CVVCVC,CVVCVC
فُّعُل,رُّسُلِ,CCVCVC,CCVCVCV
فُۥعِل,وُۥرِى,CVCCVC,CVCCVV
فِعَل,إِلَى,CVCVC,CVCVC
فِعَّل,إِنَّك,CVCCVC,CVCCVC
فِيعَل,عِيسَى,CVVCVC,CVVCVC
فِّعْل,رِّزْق,CCVCC,CCVCC
نُفعِل,نُودِى,CVCCVC,CVVCVV
يُفعُل,يُوسُف,CVCCVC,CVVCVC
يُفعِل,يُوصِى,CVCCVC,CVVCVV
أَفَعل,أَرَدت,CVCVCC,CVCVCC
أَفَعَل,أَتَذَر,CVCVCVC,CVCVCVC
أَفَعُل,أَفَ,CVCVCVC,CVCV
أَفَعْل,أَتَيْت,CVCVCC,CVCVCC
أَفِعْل,أَسِحْر,CVCVCC,CVCVCC
أَفْعُل,أَشْهُر,CVCCVC,CVCCVC
أَفْعِل,أَيْدِي,CVCCVC,CVCCVV
أَنفَعل,أَنصَار,CVCCVCC,CVCCVVC
أُفِعْل,أُمِرْت,CVCVCC,CVCVCC
أُفْعَل,أُبْعَث,CVCCVC,CVCCVC
أُفْعِل,أُرْسِل,CVCCVC,CVCCVC
أُف۟عِل,أُو۟لِى,CVCCVC,CVCCVV
تَفْعَل,تَعْلَم,CVCCVC,CVCCVCV
تَفْعُل,تَكْفُر,CVCCVC,CVCCVCV
تَفْعِل,تَجْرِى,CVCCVC,CVCCVV
تُفِعْل,تُصِبْك,CVCVCC,CVCVCC
تُفْعَل,تُرْجَع,CVCCVC,CVCCVCV
تُفْعُل,تُخْفُو,CVCCVC,CVCCVV
تُفْعِل,تُخْرِج,CVCCVC,CVCCVCV
تِفْعُل,تِلْ,CVCCVC,CVC
فَأَعْل,سَأَلْتَ,CVCVCC,CVCVCCV
فَاعَل,وَاعَدْ,CVVCVC,CVVCVC
فَاعُول,هَارُوت,CVVCVVC,CVVCVVC
فَاعُۥل,دَاوُۥد,CVVCVCC,CVVCVCC
فَتْعَل,تَتْبَعُ,CVCCVC,CVCCVCV
فَعَأْل,قَرَأْت,CVCVCC,CVCVCC
فَعَوْل,دَعَوْتُ,CVCVCC,CVCVCCV
فَعَيْل,سَقَيْت,CVCVCC,CVCVCC
فَعَّل,حَرَّمْ,CVCCVC,CVCCVC
فَعُّول,زَقُّوم,CVCCVVC,CVCCVVC
فَعِّل,نَبِّئْ,CVCCVC,CVCCVC
فَعْيَل,قَرْيَتِ,CVCCVC,CVCCVCV
فَفَعَل,فَبَعَث,CVCVCVC,CVCVCVC
فَفَعُل,فَلَ,CVCVCVC,CVCV
فَفَعْل,فَعَلْن,CVCVCC,CVCVCC
فَفُعِل,فَبُهِت,CVCVCVC,CVCVCVC
فَفُعْل,فَيُحْفِ,CVCVCC,CVCVCCV
فَفِعُل,فَعِظُوهُن,CVCVCVC,CVCVCVVCVC
فَفِعْل,فَنِصْف,CVCVCC,CVCVCC
فَفْعَل,فَجْوَة,CVCCVC,CVCCVC
فَنْعَل,نَنْهَك,CVCCVC,CVCCVC
فَوَعَل,فَوَقَع,CVCVCVC,CVCVCVC
فَوُعِل,وَوُضِع,CVCVCVC,CVCVCVC
فَوْعِل,قَوْمِى,CVCCVC,CVCCVV
فَيْعِل,كَيْدِى,CVCCVC,CVCCVV
فَّاعِل,لَّاكِن,CCVVCVC,CCVVCVC
فَّعَل,لَّقَد,CCVCVC,CCVCVC
فَّعُول,رَّسُول,CCVCVVC,CCVCVVC
فَّعِل,لَّئِن,CCVCVC,CCVCVC
فَّعِيل,رَّحِيم,CCVCVVC,CCVCVVC
فُعَّل,غُلَّت,CVCCVC,CVCCVC
فُعُّل,مُتُّم,CVCCVC,CVCCVC
فُعِّل,دُرِّى,CVCCVC,CVCCVV
فُعِّل,حُمِّلْنَآ,CVCCVC,CVCCVCCVC
فُعْلُل,زُخْرُف,CVCCVC,CVCCVC
فُعْلِل,زُحْزِح,CVCCVC,CVCCVC
فُمْعِل,مُمْسِك,CVCCVC,CVCCVC
فُّعُول,لُّغُوب,CCVCVVC,CCVCVVC
فُّوعِل,رُّوحِى,CCVVCVC,CCVVCVV
فِئْعُل,شِئْ,CVCCVC,CVC
فِعلِيل,خِنزِير,CVCCVVC,CVCCVVC
فِعَّل,مِمَّن,CVCCVC,CVCCVC
فِعُّل,مِتُّم,CVCCVC,CVCCVC
فِعِّيل,قِسِّيس,CVCCVVC,CVCCVVCV
فِّعَّل,مِّمَّن,CCVCCVC,CCVCCVC
نَفَعْل,نَجَوْت,CVCVCC,CVCVCC
نَفْعَل,نَسْتَع,CVCCVC,CVCCVCV
نَفْعِل,نَجْزِى,CVCCVC,CVCCVV
نُفعِل,نُوحِى,CVCCVC,CVVCVV
نُفْعَل,نُسْخَتِ,CVCCVC,CVCCVCV
نُفْعِل,نُؤْمِن,CVCCVC,CVCCVC
يَفِعْل,يَجِدْك,CVCVCC,CVCVCC
يَفْعَل,يَبْتَغ,CVCCVC,CVCCVC
يَفْعُل,يَدْخُل,CVCCVC,CVCCVC
يَفْعِل,يَضْرِب,CVCCVC,CVCCVC
يُفعِل,يُوحِى,CVCCVC,CVVCVV
يُفِعْل,يُرِدْك,CVCVCC,CVCVCC
يُفْعَل,يُقْبَل,CVCCVC,CVCCVC
يُفْعِل,يُؤْمِن,CVCCVC,CVCCVCV
أَفَعَل,أَيَوَد,CVCVCVC,CVCVCVC
أَفَعَل,أَفَلَت,CVCVCVC,CVCVCVC
أَفَعُّل,أَضَلُّو,CVCVCCVC,CVCVCCVV
أَفَّعَل,أَطَّلَع,CVCCVCVC,CVCCVCVC
أَفَّعُل,أَنَّ,CVCCVCVC,CVCCV
أَفَّعِل,أَتَّخِذ,CVCCVCVC,CVCCVCVC
أَفَّعْل,أَخَّرْتَنَآ,CVCCVCC,CVCCVCCVCVC
أَفُعِل,أَيُحِب,CVCVCVC,CVCVCVC
أَفْعُل,أَذْكُرْ,CVCCVC,CVCCVC
أَفْعِل,أَسْلِم,CVCCVC,CVCCVC
أَنفَعْل,أَنجَيْتَ,CVCCVCC,CVCVCVCCV
أُفَعِّل,أُنَبِّئُ,CVCVCCVC,CVCVCCVCV
أُفِيعَل,أُجِيبَت,CVCVVCVC,CVCVVCVC
أُفْعِل,أُحْصِن,CVCCVC,CVCCVC
أُفْعِل,أُخْرِجْ,CVCCVC,CVCCVC
تَفَاعَل,تَظَاهَر,CVCVVCVC,CVCVVCVCV
تَفَاعِل,تَخَافِى,CVCVVCVC,CVCVVCVV
تَفَعُل,تَذَرُن,CVCVCVC,CVCVCVC
تَفَّعِل,تَدَّخِر,CVCCVCVC,CVCCVCVCV
تَفُعُّل,تَصُدُّو,CVCVCCVC,CVCVCCVV
تَفْعَل,تَهْتَز,CVCCVC,CVCCVC
تَفْعَل,تَعْلَم,CVCCVC,CVCCVC
تَفْعُل,تَكْفُر,CVCCVC,CVCCVC
تَفْعُۥل,تَلْوُۥن,CVCCVCC,CVCCVCC
تَفْعِل,تَحْمِل,CVCCVC,CVCCVC
تَفْعِل,تَهْوِى,CVCCVC,CVCCVV
تَنفِعُل,تَنكِحُوهُن,CVCCVCVC,CVCCVCVVCVC
تَّفْعَل,تَّعْمَل,CCVCCVC,CCVCCVC
تَّفْعُل,تَّعْبُد,CCVCCVC,CCVCCVC
تَّفْعِل,تَّقْرِضُ,CCVCCVC,CCVCCVCV
تُفَعَّل,تُكَلَّف,CVCVCCVC,CVCVCCVC
تُفَعِّل,تُكَلِّم,CVCVCCVC,CVCVCCVC
تُفُعِّل,تُقُبِّل,CVCVCCVC,CVCVCCVC
تُفْعُل,تُبْ,CVCCVC,CVC
تُفْعِل,تُعْرِض,CVCCVC,CVCCVC
تُفْعِل,تُؤْتِى,CVCCVC,CVCCVV
فَاعَيْل,ءَاتَيْتُ,CVVCVCC,CVVCVCCV
فَتَّعِل,تَتَّبِع,CVCCVCVC,CVCCVCVC
فَعَّيْل,سَمَّيْتُ,CVCCVCC,CVCCVCCV
فَعِيًّل,نَبِيًّا,CVCVVCVC,CVCVVCVV
فَفَعَل,فَجَعَلْنَا,CVCVCVC,CVCVCVCCVV
فَفَعُل,فَلَهُن,CVCVCVC,CVCVCVC
فَفَعُل,فَيَمُت,CVCVCVC,CVCVCVC
فَفَعِّل,فَمَهِّل,CVCVCCVC,CVCVCCVC
فَفَّعْل,فَضَّلْتُ,CVCCVCC,CVCCVCCV
فَفِعَّل,فَعِدَّتُهُن,CVCVCCVC,CVCVCCVCVCVC
فَنتَعِل,تَنتَشِر,CVCCVCVC,CVCVCVCVCV
فَوَعَل,وَوَهَبْ,CVCVCVC,CVCVCVC
فَيُفعِل,فَيُوحِى,CVCVCCVC,CVCVVCVV
فَيُوعُل,وَيُونُس,CVCVVCVC,CVCVVCVC
فَّعَّل,مَّتَّعْنَا,CCVCCVC,CCVCCVCCVV
فُنَعِّل,نُنَزِّل,CVCVCCVC,CVCVCCVC
فُّعُّل,مُّتُّم,CCVCCVC,CCVCCVC
فُّمْعِل,مُّمْطِرُ,CCVCCVC,CCVCCVCV
فِبَعِل,بِبَنِى,CVCVCVC,CVCVCVV
فِعْلِيل,قِطْمِير,CVCCVVC,CVCCVVC
فِيعَئِل,حِينَئِذ,CVVCVCVC,CVVCVCVC
نَفَّعِل,نَتَّبِع,CVCCVCVC,CVCCVCVC
نَفْعَل,نَضْطَرُّ,CVCCVC,CVCCVCCV
نَفْعَل,نَكْتَل,CVCCVC,CVCCVC
نَفْعُل,نَقْصُصْ,CVCCVC,CVCCVC
نَفْعِل,نَخْسِف,CVCCVC,CVCCVC
نَفْعِل,نَدْرِى,CVCCVC,CVCCVV
نَّفَعَل,نَّفَعَت,CCVCVCVC,CCVCVCVC
نَّفْعَل,نَّفْعَل,CCVCCVC,CCVCCVC
نَّفْعُل,نَّدْخُلَ,CCVCCVC,CCVCCVCV
نَّفْعِل,نَّصْبِر,CCVCCVC,CCVCCVC
نُفَعِّل,نُسَبِّح,CVCVCCVC,CVCVCCVC
نُفْعِل,نُسْقِط,CVCCVC,CVCCVC
نُّفعِل,نُّوحِى,CCVCCVC,CCVVCVV
نُّفْعِل,نُّؤْمِن,CCVCCVC,CCVCCVC
يَفَّعِل,يَتَّبِع,CVCCVCVC,CVCCVCVC
يَفُعُّل,يَرُدُّو,CVCVCCVC,CVCVCCVV
يَفِعِّل,يَخِصِّم,CVCVCCVC,CVCVCCVCV
يَفْعَل,يَخْتَص,CVCCVC,CVCCVC
يَفْعَل,يَفْعَل,CVCCVC,CVCCVC
يَفْعُل,يَكْفُر,CVCCVC,CVCCVC
يَفْعُول,يَعْقُوب,CVCCVVC,CVCCVVC
يَفْعُۥل,يَلْوُۥن,CVCCVCC,CVCCVCC
يَفْعِل,يَغْلِب,CVCCVC,CVCCVC
يَفْعِل,يَهْدِى,CVCCVC,CVCCVV
يَنفَعِل,يَنقَلِب,CVCCVCVC,CVCCVCVC
يَنفُعُل,يَنقُصُو,CVCCVCVC,CVCVCVCVV
يُفَاعَل,يُضَاعَف,CVCVVCVC,CVCVVCVC
يُفَاعِل,يُؤَاخِذُ,CVCVVCVC,CVCVVCVCV
يُفَعَّل,يُخَفَّف,CVCVCCVC,CVCVCCVC
يُفَعِّل,يُعَلِّمَان,CVCVCCVC,CVCVCCVCVVC
يُفَّعَل,يُتَّبَع,CVCCVCVC,CVCCVCVC
يُفِيعُل,يُعِيدُو,CVCVVCVC,CVCVVCVV
يُفْعَل,يُصْرَف,CVCCVC,CVCCVC
يُفْعِل,يُخْرِج,CVCCVC,CVCCVC
أَتَفْعَل,أَتَجْعَل,CVCVCCVC,CVCVCCVC
أَتَفْعُل,أَتَعْبُد,CVCVCCVC,CVCVCCVCV
أَتَفْعِل,أَتَصْبِر,CVCVCCVC,CVCVCCVCV
أَتُفْعِل,أَتُهْلِكُ,CVCVCCVC,CVCVCCVCV
أَفَاعَل,أَصَابَتْ,CVCVVCVC,CVCVVCVC
أَفَاعِيل,أَسَاطِير,CVCVVCVVC,CVCVVCVVC
أَفَعَيْل,أَفَغَيْر,CVCVCVCC,CVCVCVCC
أَفَعَّل,أَهَمَّتْ,CVCVCCVC,CVCVCCVC
أَنَفْعُل,أَنَسْجُد,CVCVCCVC,CVCVCCVC
أَنُفْعِل,أَنُطْعِم,CVCVCCVC,CVCVCCVC
أَوَفَعْل,أَوَعَظْت,CVCVCVCC,CVCVCVCC
أُفِعَّل,أُعِدَّت,CVCVCCVC,CVCVCCVC
أُفِّعَل,أُقِّتَت,CVCCVCVC,CVCCVCVC
تَفَعَّل,تَبَرَّأْنَآ,CVCVCCVC,CVCVCCVCCVC
تَفُعَّل,تَغُرَّنَّ,CVCVCCVC,CVCVCCVCCV
تَفُوعَل,تَكُونَن,CVCVVCVC,CVCVVCVC
تَفْتَعُل,تَعْتَدُو,CVCCVCVC,CVCCVCVV
تَمُفعُل,تَمُوتُن,CVCVCCVC,CVCVVCVC
تَّفَاعَل,تَّزَاوَر,CCVCVVCVC,CCVCVVCVC
تُفَاعِل,تُؤَاخِذْنَآ,CVCVVCVC,CVCVVCVCCVC
تُفَعِّل,تُحَمِّلْ,CVCVCCVC,CVCVCCVC
تُفِيعَل,تُصِيبَن,CVCVVCVC,CVCVVCVC
تُوَفْعِل,تُوَسْوِس,CVVCCVC,CVVCCVC
فَأُو۟عِل,وَأُو۟لِى,CVCVVCVC,CVCVVCVV
فَبِفُعْل,فَبِظُلْم,CVCVCVCC,CVCVCVCC
فَبِفِعْل,فَبِإِذْن,CVCVCVCC,CVCVCVCC
فَتَفْعَل,فَتَبْهَتُ,CVCVCCVC,CVCVCCVCV
فَتَفْعُل,فَتَطْرُدَ,CVCVCCVC,CVCVCCVCV
فَتَفْعِل,فَتَعْرِفُونَ,CVCVCCVC,CVCVCCVCVVCV
فَتُفْعِل,فَتُصْبِح,CVCVCCVC,CVCVCCVC
فَعَآئِل,شَعَآئِر,CVCVCCVC,CVCVCCVC
فَفَاعَل,فَحَاسَبْنَا,CVCVVCVC,CVCVVCVCCVV
فَفَرْعُل,فَرَرْ,CVCVCCVC,CVCVC
فَفَعَّل,فَمَرَّت,CVCVCCVC,CVCVCCVC
فَفَعِئْل,فَلَبِئْس,CVCVCVCC,CVCVCVCC
فَفَعِّل,فَبَشِّرْ,CVCVCCVC,CVCVCCVC
فَنَفْعَل,فَنَجْعَل,CVCVCCVC,CVCVCCVC
فَنُؤْعِل,أَنُؤْمِن,CVCVCCVC,CVCVCCVC
فَنُفْعِل,فَنُخْرِج,CVCVCCVC,CVCVCCVC
فَوَاعَل,وَوَاعَدْ,CVCVVCVC,CVCVVCVC
فَوَفَعْل,فَوَسَطْن,CVCVCVCC,CVCVCVCC
فَوَفْعَل,فَوَسْوَس,CVCVCCVC,CVCVCCVC
فَيَفْعَل,فَيَطْمَع,CVCVCCVC,CVCVCCVC
فَيَفْعُل,فَيَأْخُذَ,CVCVCCVC,CVCVCCVCV
فَيَفْعِل,فَيَسْقِى,CVCVCCVC,CVCVCCVV
فَيُفْعَل,فَيُصْلَب,CVCVCCVC,CVCVCCVC
فَيُفْعِل,فَيُقْسِمَان,CVCVCCVC,CVCVCCVCVVC
فَيْعَيْل,عَيْنَيْن,CVCCVCC,CVCCVCC
فَّعِيًّل,نَّبِيًّا,CCVCVVCVC,CCVCVVCVV
فِتَلْعِل,لِتَلْفِتَ,CVCVCCVC,CVCVCCVCV
نَفَّعِل,نَتَّبِعْ,CVCCVCVC,CVCCVCVC
نَفْتَعِل,نَشْتَرِى,CVCCVCVC,CVCCVCVV
نَّفَّعِل,نَّتَّخِذ,CCVCCVCVC,CCVCCVCVC
نَّفْعِل,نَّغْفِر,CCVCCVC,CCVCCVC
نُفَاعِل,نُجَازِى,CVCVVCVC,CVCVVCVV
نُفَعِّل,نُكَفِّر,CVCVCCVC,CVCVCCVC
نُفِيعَل,فَلَنُذِيقَن,CVCVVCVC,CVCVCVCVVCVC
نُفِّعَل,نُزِّلَت,CVCCVCVC,CVCCVCVC
نُنَفِّعل,نُنَجِّيك,CVCVCCVCC,CVCVCCVVC
نُّفَعِّل,نُّبَدِّل,CCVCVCCVC,CCVCVCCVC
يَفَّعَّل,يَشَّقَّق,CVCCVCCVC,CVCCVCCVC
يَفَّعِل,يَتَّخِذ,CVCCVCVC,CVCCVCVC
يَفُعَّل,يَغُرَّنَّ,CVCVCCVC,CVCVCCVCCV
يَفْتَعِل,يَفْتَرِى,CVCCVCVC,CVCCVCVV
يَفْعَتِل,يَقْتَتِلَان,CVCCVCVC,CVCCVCVCVVC
يُفَعِّل,يُبَدِّل,CVCVCCVC,CVCVCCVC
يُفِيعَل,يُرِيدَآ,CVCVVCVC,CVCVVCVC
يُوَفْعِل,يُوَسْوِس,CVVCCVC,CVVCCVC
أَتَّفِعُل,أَتَّبِعُك,CVCCVCVCVC,CVCCVCVCVC
أَتُفَعِّل,أَتُحَدِّثُونَ,CVCVCVCCVC,CVCVCVCCVCVVCV
أَفَتَّعِل,أَتَتَّخِذُ,CVCVCCVCVC,CVCVCCVCVCV
أَفْتُفعِل,أَفْتُونِى,CVCCVCCVC,CVCCVVCVV
أَنفَاعِل,أَنصَارِى,CVCCVVCVC,CVCCVVCVV
تَتَّفِعُل,تَتَّبِعُو,CVCCVCVCVC,CVCCVCVCVV
تَفْعَلِل,تَقْشَعِر,CVCCVCVC,CVCCVCVC
تَوَفَّعْل,تَوَكَّلْت,CVCVCCVCC,CVCVCCVCC
فَأَلْعَل,وَأَلْقَيْ,CVCVCCVC,CVCVCCVC
